,FABRIC NAME,COLOR OF DRESS,PRICE,URL
20,Printed Crepe Stitched Anarkali Gown,Blue,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itm167c547e2abdc?pid=GWNGBG8MYXG7X3YU&lid=LSTGWNGBG8MYXG7X3YUWQMW0A&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8MYXG7X3YU.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
21,Printed Crepe Stitched Anarkali Gown,Light Green,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itmd1710726519d5?pid=GWNGBG8PWYTZERWH&lid=LSTGWNGBG8PWYTZERWHACDWLN&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8PWYTZERWH.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
22,Georgette Stitched Flared/A-line Gown,Purple,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itm18fa65345eb43?pid=GWNGCDKFU9BSNHHK&lid=LSTGWNGCDKFU9BSNHHKMUYROT&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGCDKFU9BSNHHK.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
23,Solid Georgette Stitched Flared/A-line Gown,Blue,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itm0f9102ea29835?pid=GWNG3N62ZGWUCK7G&lid=LSTGWNG3N62ZGWUCK7GTQBLH5&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNG3N62ZGWUCK7G.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
24,Dyed Georgette Stitched Anarkali Gown,Blue,₹499,https://www.flipkart.com/femvy-anarkali-gown/p/itm76db193b2d243?pid=GWNGC5N8WMSYHEWV&lid=LSTGWNGC5N8WMSYHEWVEUMWCO&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGC5N8WMSYHEWV.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
25,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,₹436,https://www.flipkart.com/lookzilla-anarkali-gown/p/itmbf887e41bf025?pid=GWNGGG7THVFHUWPZ&lid=LSTGWNGGG7THVFHUWPZH55TUB&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGGG7THVFHUWPZ.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
26,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,₹436,https://www.flipkart.com/lookzilla-anarkali-gown/p/itm82dce6caeb051?pid=GWNGGG7T5P3XQFH3&lid=LSTGWNGGG7T5P3XQFH3FSKA7J&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGGG7T5P3XQFH3.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
27,Printed Crepe Stitched Anarkali Gown,Light Green,₹297,https://www.flipkart.com/ne-style-anarkali-gown/p/itm4ea5b13932375?pid=GWNGBG8PDRZCBDKX&lid=LSTGWNGBG8PDRZCBDKX80WJKZ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8PDRZCBDKX.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
28,Printed Crepe Stitched Anarkali Gown,Dark Blue,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itm5969970776bc6?pid=GWNGBG8HDVQKZ3YF&lid=LSTGWNGBG8HDVQKZ3YFPWRWJ1&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8HDVQKZ3YF.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
29,Net Semi Stitched Anarkali Gown,Yellow,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmabfcad55eaab9?pid=GWNG3TXZM2UZJQEJ&lid=LSTGWNG3TXZM2UZJQEJGXNYAE&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNG3TXZM2UZJQEJ.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
30,Self Design Rayon Blend Stitched Anarkali Gown,Pink,₹649,https://www.flipkart.com/ftdiva-anarkali-gown/p/itma19e7735dbc2d?pid=GWNFWPGFCMRKNWEE&lid=LSTGWNFWPGFCMRKNWEEDSQPIK&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNFWPGFCMRKNWEE.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
