S.No,FABRIC_NAME,COLOR_OF_DRESS,price,PRICE,URL
113,Net Semi Stitched Anarkali Gown,Grey,699,₹699,EXCEL_short
114,Paisley Rayon Blend Stitched Anarkali Gown,Pink,699,₹699,EXCEL_short
115,Net Semi Stitched Anarkali Gown,Green,499,₹499,EXCEL_short
116,"Self Design, Embellished, Embroidered Net Semi Stitched...",Black,749,₹749,EXCEL_short
117,Printed Georgette Stitched Flared/A-line Gown,Multicolor,769,₹769,EXCEL_short
118,Geometric Print Pure Cotton Stitched Anarkali Gown,Yellow,199,₹199,EXCEL_short
119,Net Semi Stitched Anarkali Gown,Dark Blue,499,₹499,EXCEL_short
120,Georgette Stitched Flared/A-line Gown,Brown,799,₹799,EXCEL_short
121,Applique Silk Blend Stitched Flared/A-line Gown,Red,399,₹399,EXCEL_short
122,Printed Georgette Stitched Flared/A-line Gown,Multicolor,769,₹769,EXCEL_short
123,Geometric Print Pure Cotton Stitched Anarkali Gown,Yellow,199,₹199,EXCEL_short
124,"Self Design, Embellished, Embroidered Net Semi Stitched...",Black,749,₹749,EXCEL_short
125,Georgette Stitched Flared/A-line Gown,Multicolor,769,₹769,EXCEL_short
126,Applique Silk Blend Stitched Flared/A-line Gown,Purple,399,₹399,EXCEL_short
127,Georgette Stitched Flared/A-line Gown,Maroon,779,₹779,EXCEL_short
128,Printed Rayon Blend Stitched Flared/A-line Gown,Dark Blue,375,₹375,EXCEL_short
129,Rayon Blend Stitched Flared/A-line Gown,Green,380,₹380,EXCEL_short
130,Applique Silk Blend Stitched Flared/A-line Gown,Green,399,₹399,EXCEL_short
131,Embroidered Rayon Blend Stitched Anarkali Gown,Blue,398,₹398,EXCEL_short
132,Net Semi Stitched Anarkali Gown,Dark Blue,499,₹499,EXCEL_short
133,Embroidered Silk Blend Semi Stitched Anarkali Gown,Red,499,₹499,EXCEL_short
134,Printed Rayon Blend Stitched Straight Gown,Multicolor,843,₹843,EXCEL_short
135,Embroidered Silk Blend Semi Stitched Anarkali Gown,Blue,464,₹464,EXCEL_short
136,Solid Georgette Stitched Flared/A-line Gown,Grey,499,₹499,EXCEL_short
137,Embroidered Net Semi Stitched Anarkali Gown,Pink,399,₹399,EXCEL_short
138,Printed Rayon Blend Stitched Anarkali Gown,Maroon,474,₹474,EXCEL_short
139,Polka Print Rayon Blend Stitched Flared/A-line Gown,"Black, White",400,₹400,EXCEL_short
140,Printed Rayon Blend Stitched Anarkali Gown,Black,532,₹532,EXCEL_short
141,"Self Design, Embellished Net Semi Stitched Flared/A-lin...",Black,499,₹499,EXCEL_short
142,Embroidered Georgette Semi Stitched Anarkali Gown,Light Green,250,₹250,EXCEL_short
143,Georgette Stitched Flared/A-line Gown,Light Green,499,₹499,EXCEL_short
144,Printed Viscose Rayon Stitched Anarkali Gown,Green,474,₹474,EXCEL_short
145,Polyester Stitched Flared/A-line Gown,Black,459,₹459,EXCEL_short
146,Self Design Rayon Blend Stitched Anarkali Gown,"Dark Green, Gold, Red",769,₹769,EXCEL_short
147,Printed Crepe Stitched Anarkali Gown,Light Green,284,₹284,EXCEL_short
148,Rayon Blend Stitched Flared/A-line Gown,Green,597,₹597,EXCEL_short
149,Net Semi Stitched Flared/A-line Gown,Pink,495,₹495,EXCEL_short
150,Net Semi Stitched Anarkali Gown,Green,719,₹719,EXCEL_short
151,Embroidered Satin Semi Stitched Anarkali Gown,Dark Blue,399,₹399,EXCEL_short
152,Self Design Viscose Rayon Stitched Anarkali Gown,Pink,699,₹699,EXCEL_short
153,Solid Georgette Stitched Anarkali Gown,Purple,494,₹494,EXCEL_short
154,Self Design Cotton Rayon Stitched Anarkali Gown,Purple,705,₹705,EXCEL_short
155,Printed Georgette Stitched Anarkali Gown,"White, Blue",495,₹495,EXCEL_short
156,Floral Print Crepe Stitched Flared/A-line Gown,Orange,330,₹330,EXCEL_short
157,"Printed, Woven Pure Silk Stitched Flared/A-line Gown","White, Green",749,₹749,EXCEL_short
158,Paisley Rayon Blend Stitched Anarkali Gown,Pink,499,₹499,EXCEL_short
159,Georgette Stitched Anarkali Gown,Maroon,755,₹755,EXCEL_short
160,Georgette Stitched Flared/A-line Gown,Maroon,779,₹779,EXCEL_short
161,Georgette Stitched Flared/A-line Gown,Brown,799,₹799,EXCEL_short
162,Georgette Stitched Flared/A-line Gown,Pink,599,₹599,EXCEL_short
163,Printed Georgette Stitched Flared/A-line Gown,White,674,₹674,EXCEL_short
164,Embroidered Georgette Stitched Flared/A-line Gown,Purple,499,₹499,EXCEL_short
165,Self Design Cotton Rayon Stitched Anarkali Gown,Blue,563,₹563,EXCEL_short
166,Applique Silk Blend Stitched Flared/A-line Gown,Purple,399,₹399,EXCEL_short
167,Applique Silk Blend Stitched Flared/A-line Gown,Red,399,₹399,EXCEL_short
168,Embroidered Net Semi Stitched Anarkali Gown,Blue,329,₹329,EXCEL_short
169,Embroidered Net Semi Stitched Anarkali Gown,Maroon,699,₹699,EXCEL_short
170,Applique Silk Blend Stitched Flared/A-line Gown,Green,399,₹399,EXCEL_short
171,Solid Georgette Stitched Flared/A-line Gown,Purple,499,₹499,EXCEL_short
172,Printed Rayon Blend Stitched Anarkali Gown,Black,699,₹699,EXCEL_short
173,Embroidered Net Semi Stitched Flared/A-line Gown,Pink,499,₹499,EXCEL_short
174,Printed Rayon Blend Stitched Anarkali Gown,Yellow,444,₹444,EXCEL_short
175,Embroidered Rayon Blend Stitched Flared/A-line Gown,Blue,413,₹413,EXCEL_short
176,Printed Pure Cotton Stitched Flared/A-line Gown,"Pink, Green",499,₹499,EXCEL_short
177,Satin Stitched Flared/A-line Gown,"Light Blue, Gold",370,₹370,EXCEL_short
178,Printed Georgette Stitched Anarkali Gown,White,939,₹939,EXCEL_short
179,Printed Georgette Stitched Anarkali Gown,Pink,559,₹559,EXCEL_short
180,Floral Print Rayon Blend Stitched Flared/A-line Gown,White,909,₹909,EXCEL_short
181,Silk Blend Stitched Anarkali Gown,Purple,471,₹471,EXCEL_short
182,Printed Georgette Stitched Anarkali Gown,Brown,649,₹649,EXCEL_short
183,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,429,₹429,EXCEL_short
184,Rayon Blend Stitched Anarkali Gown,Yellow,491,₹491,EXCEL_short
185,Embroidered Georgette Semi Stitched Anarkali Gown,Blue,649,₹649,EXCEL_short
186,Georgette Stitched Flared/A-line Gown,Grey,639,₹639,EXCEL_short
187,Embroidered Satin Semi Stitched Anarkali Gown,Purple,332,₹332,EXCEL_short
188,"Embroidered, Self Design, Solid, Embellished, Applique ...","Grey, Black",479,₹479,EXCEL_short
189,Net Stitched Flared/A-line Gown,Blue,262,₹262,EXCEL_short
190,Art Silk Semi Stitched Flared/A-line Gown,Blue,499,₹499,EXCEL_short
191,Solid Georgette Stitched Anarkali Gown,Pink,519,₹519,EXCEL_short
192,Printed Cotton Blend Stitched Flared/A-line Gown,"Yellow, Pink",499,₹499,EXCEL_short
193,Embroidered Georgette Stitched Flared/A-line Gown,Purple,999,₹999,EXCEL_short
194,Floral Print Georgette Stitched Anarkali Gown,Pink,792,₹792,EXCEL_short
