,FABRIC NAME,COLOR OF DRESS,PRICE,URL
24,Embroidered Net Semi Stitched Anarkali Gown,White,₹499,https://www.flipkart.com/smart-shop-anarkali-gown/p/itmcd81a2848c498?pid=GWNEWFYPQC24KYKJ&lid=LSTGWNEWFYPQC24KYKJFCWAJX&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNEWFYPQC24KYKJ.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
25,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,₹445,https://www.flipkart.com/lookslink-anarkali-gown/p/itme9869562ccc18?pid=GWNGGTQYH65RTA6G&lid=LSTGWNGGTQYH65RTA6GMQRC1D&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGGTQYH65RTA6G.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
26,Printed Crepe Stitched Anarkali Gown,Dark Blue,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itm5969970776bc6?pid=GWNGBG8HDVQKZ3YF&lid=LSTGWNGBG8HDVQKZ3YFPWRWJ1&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8HDVQKZ3YF.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
27,Printed Crepe Stitched Anarkali Gown,Black,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itmbaf2c7d35e67a?pid=GWNGBG8KSGHVED6G&lid=LSTGWNGBG8KSGHVED6G7GS2BT&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8KSGHVED6G.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
28,Georgette Stitched Anarkali Gown,Dark Blue,₹649,https://www.flipkart.com/fashion2wear-anarkali-gown/p/itmb47f287f3df8e?pid=GWNGHNHDDGNBKZNG&lid=LSTGWNGHNHDDGNBKZNG8CWB6P&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGHNHDDGNBKZNG.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
29,Dyed Georgette Stitched Anarkali Gown,Blue,₹499,https://www.flipkart.com/femvy-anarkali-gown/p/itm76db193b2d243?pid=GWNGC5MXHHDBTJSF&lid=LSTGWNGC5MXHHDBTJSFHDZVOB&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGC5MXHHDBTJSF.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
30,Printed Crepe Stitched Anarkali Gown,Pink,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itm1a15b278d80fa?pid=GWNGBG8P3EPZA4PR&lid=LSTGWNGBG8P3EPZA4PRS1FEEY&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8P3EPZA4PR.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
31,Solid Georgette Stitched Flared/A-line Gown,Black,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itmc1cc83ca893ec?pid=GWNG3N62RYDK2YZK&lid=LSTGWNG3N62RYDK2YZKB4OEEQ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG3N62RYDK2YZK.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
32,Floral Print Rayon Blend Stitched Flared/A-line Gown,Pink,₹399,https://www.flipkart.com/ftdiva-flared-a-line-gown/p/itm24b2095e7085d?pid=GWNG5RU64ZKNNRPF&lid=LSTGWNG5RU64ZKNNRPFMC6R18&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG5RU64ZKNNRPF.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
33,Printed Crepe Stitched Anarkali Gown,Dark Blue,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm0ed68678133d7?pid=GWNGBG8HKNYHEF7D&lid=LSTGWNGBG8HKNYHEF7DPH6BYX&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8HKNYHEF7D.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
